FDE#,FDE Name,Focal Document Element (FDE),Confidence Levels,NIST IR-8477 Rational,STRM Rationale,STRM Relationship,Strength of Relationship,ASVS Requirement Title,Target ID #,ASVS Requirement Description,Notes
PW.2.1,PW.2.1: Have 1) a qualified person (or people) who were not involved with the design and/or 2) automated processes instantiated in the toolchain review the software design to confirm and enforce that it meets all of the security requirements and satisfactorily addresses the identified risk information.,Examples Example 1: Review the software design to confirm that it addresses applicable security requirements.,medium,functional,"SSDF PW.2.1 requires Examples Example 1: Review the software design to confirm that it addresses applicable security requirements.. ASVS V1.1.2 requires Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.2,"Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.",Auto-mapped via lexical + theme scoring (score=0.315). Manual review recommended for production use.
PW.4.1,"PW.4.1: Acquire and maintain well-secured software components (e.g., software libraries, modules, middleware, frameworks) from commercial, open-source, and other third-party developers for use by the organization’s software.",Examples Example 1: Review and evaluate third-party software components in the context of their expected use.,medium,functional,"SSDF PW.4.1 requires Examples Example 1: Review and evaluate third-party software components in the context of their expected use.. ASVS V10.2.1 requires Verify that the application source code and third party libraries do not contain unauthorized phone home or data collection capabilities.. Both address data protection and crypto. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V10 - Malicious Code,V10.2.1,Verify that the application source code and third party libraries do not contain unauthorized phone home or data collection capabilities.,Auto-mapped via lexical + theme scoring (score=0.277). Manual review recommended for production use.
PW.4.2,PW.4.2: Create and maintain well-secured software components in-house following SDLC processes to meet common internal software development needs that cannot be better met by third-party software components.,Examples Example 1: Follow organization-established security practices for secure software development when creating and maintaining the components.,medium,functional,"SSDF PW.4.2 requires Examples Example 1: Follow organization-established security practices for secure software development when creating and maintaining the components.. ASVS V2.10.4 requires Verify passwords, integrations with databases and third-party systems, seeds and internal secrets, and API keys are managed securely and not included in the source code or stored within source code repositories.. Both address data protection and crypto. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V2 - Authentication,V2.10.4,"Verify passwords, integrations with databases and third-party systems, seeds and internal secrets, and API keys are managed securely and not included in the source code or stored within source code repositories.",Auto-mapped via lexical + theme scoring (score=0.290). Manual review recommended for production use.
PW.4.4,"PW.4.4: Verify that acquired commercial, open-source, and all other third-party software components comply with the requirements, as defined by the organization, throughout their life cycles.",Examples Example 1: Regularly check whether there are publicly known vulnerabilities in the software modules and services that vendors have not yet fixed.,medium,functional,"SSDF PW.4.4 requires Examples Example 1: Regularly check whether there are publicly known vulnerabilities in the software modules and services that vendors have not yet fixed.. ASVS V10.2.6 requires Verify that the application source code and third party libraries do not contain Easter eggs or any other potentially unwanted functionality.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V10 - Malicious Code,V10.2.6,Verify that the application source code and third party libraries do not contain Easter eggs or any other potentially unwanted functionality.,Auto-mapped via lexical + theme scoring (score=0.285). Manual review recommended for production use.
PW.5.1,PW.5.1: Follow all secure coding practices that are appropriate to the development languages and environment to meet the organization’s requirements.,"Examples Example 1: Validate all inputs, and validate and properly encode all outputs.",medium,functional,"SSDF PW.5.1 requires Examples Example 1: Validate all inputs, and validate and properly encode all outputs.. ASVS V1.1.7 requires Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.. Both address governance and policy. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.7,"Verify availability of a secure coding checklist, security requirements, guideline, or policy to all developers and testers.",Auto-mapped via lexical + theme scoring (score=0.277). Manual review recommended for production use.
PW.6.1,"PW.6.1: Use compiler, interpreter, and build tools that offer features to improve executable security.","Examples Example 1: Use up-to-date versions of compiler, interpreter, and build tools.",medium,functional,"SSDF PW.6.1 requires Examples Example 1: Use up-to-date versions of compiler, interpreter, and build tools.. ASVS V9.1.2 requires Verify using up to date TLS testing tools that only strong cipher suites are enabled, with the strongest cipher suites set as preferred.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V9 - Communication,V9.1.2,"Verify using up to date TLS testing tools that only strong cipher suites are enabled, with the strongest cipher suites set as preferred.",Auto-mapped via lexical + theme scoring (score=0.288). Manual review recommended for production use.
PW.6.2,"PW.6.2: Determine which compiler, interpreter, and build tool features should be used and how each should be configured, then implement and use the approved configurations.",Examples Example 1: Enable compiler features that produce warnings for poorly secured code during the compilation process.,medium,functional,"SSDF PW.6.2 requires Examples Example 1: Enable compiler features that produce warnings for poorly secured code during the compilation process.. ASVS V14.1.2 requires Verify that compiler flags are configured to enable all available buffer overflow protections and warnings, including stack randomization, data execution prevention, and to break the build if an unsafe pointer, memory, format string, integer, or string operati.... Both address configuration and deployment. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V14 - Configuration,V14.1.2,"Verify that compiler flags are configured to enable all available buffer overflow protections and warnings, including stack randomization, data execution prevention, and to break the build if an unsafe pointer, memory, format string, integer, or string operati...",Auto-mapped via lexical + theme scoring (score=0.311). Manual review recommended for production use.
PW.7.1,"PW.7.1: Determine whether code review (a person looks directly at the code to find issues) and/or code analysis (tools are used to find issues in code, either in a fully automated way or in conjunction with a person) should be used, as defined by the organization.",Examples Example 1: Follow the organization’s policies or guidelines for when code review should be performed and how it should be conducted.,medium,functional,"SSDF PW.7.1 requires Examples Example 1: Follow the organization’s policies or guidelines for when code review should be performed and how it should be conducted.. ASVS V10.2.6 requires Verify that the application source code and third party libraries do not contain Easter eggs or any other potentially unwanted functionality.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V10 - Malicious Code,V10.2.6,Verify that the application source code and third party libraries do not contain Easter eggs or any other potentially unwanted functionality.,Auto-mapped via lexical + theme scoring (score=0.289). Manual review recommended for production use.
PW.7.2,"PW.7.2: Perform the code review and/or code analysis based on the organization’s secure coding standards, and record and triage all discovered issues and recommended remediations in the development team’s workflow or issue tracking system.","Examples Example 1: Perform peer review of code, and review any existing code review, analysis, or testing results as part of the peer review.",medium,functional,"SSDF PW.7.2 requires Examples Example 1: Perform peer review of code, and review any existing code review, analysis, or testing results as part of the peer review.. ASVS V1.10.1 requires Verify that a source code control system is in use, with procedures to ensure that check-ins are accompanied by issues or change tickets.. Both address access control and auth. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.10.1,"Verify that a source code control system is in use, with procedures to ensure that check-ins are accompanied by issues or change tickets.",Auto-mapped via lexical + theme scoring (score=0.294). Manual review recommended for production use.
PW.8.1,"PW.8.1: Determine whether executable code testing should be performed to find vulnerabilities not identified by previous reviews, analysis, or testing and, if so, which types of testing should be used.","Examples Example 1: Follow the organization’s policies or guidelines for when code testing should be performed and how it should be conducted (e.g., within a sandboxed environment).",medium,functional,"SSDF PW.8.1 requires Examples Example 1: Follow the organization’s policies or guidelines for when code testing should be performed and how it should be conducted (e.g., within a sandboxed environment).. ASVS V10.2.6 requires Verify that the application source code and third party libraries do not contain Easter eggs or any other potentially unwanted functionality.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V10 - Malicious Code,V10.2.6,Verify that the application source code and third party libraries do not contain Easter eggs or any other potentially unwanted functionality.,Auto-mapped via lexical + theme scoring (score=0.287). Manual review recommended for production use.
PW.8.2,"PW.8.2: Scope the testing, design the tests, perform the testing, and document the results, including recording and triaging all discovered issues and recommended remediations in the development team’s workflow or issue tracking system.",Examples Example 1: Perform robust functional testing of security features.,medium,functional,"SSDF PW.8.2 requires Examples Example 1: Perform robust functional testing of security features.. ASVS V1.10.1 requires Verify that a source code control system is in use, with procedures to ensure that check-ins are accompanied by issues or change tickets.. Both address access control and auth. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.10.1,"Verify that a source code control system is in use, with procedures to ensure that check-ins are accompanied by issues or change tickets.",Auto-mapped via lexical + theme scoring (score=0.289). Manual review recommended for production use.
PW.9.1,"PW.9.1: Define a secure baseline by determining how to configure each setting that has an effect on security or a security-related setting so that the default settings are secure and do not weaken the security functions provided by the platform, network infrastructure, or services.","Examples Example 1: Conduct testing to ensure that the settings, including the default settings, are working as expected and are not inadvertently causing any security weaknesses, operational issues, or other problems.",medium,functional,"SSDF PW.9.1 requires Examples Example 1: Conduct testing to ensure that the settings, including the default settings, are working as expected and are not inadvertently causing any security weaknesses, operational issues, or other problems.. ASVS V1.1.2 requires Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.2,"Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.",Auto-mapped via lexical + theme scoring (score=0.288). Manual review recommended for production use.
PW.9.2,"PW.9.2: Implement the default settings (or groups of default settings, if applicable), and document each setting for software administrators.",Examples Example 1: Verify that the approved configuration is in place for the software.,medium,functional,"SSDF PW.9.2 requires Examples Example 1: Verify that the approved configuration is in place for the software.. ASVS V1.12.2 requires Verify that user-uploaded files - if required to be displayed or downloaded from the application - are served by either octet stream downloads, or from an unrelated domain, such as a cloud file storage bucket.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.12.2,"Verify that user-uploaded files - if required to be displayed or downloaded from the application - are served by either octet stream downloads, or from an unrelated domain, such as a cloud file storage bucket.",Auto-mapped via lexical + theme scoring (score=0.293). Manual review recommended for production use.
RV.1.1,"RV.1.1: Gather information from software acquirers, users, and public sources on potential vulnerabilities in the software and third-party components that the software uses, and investigate all credible reports.","Examples Example 1: Monitor vulnerability databases , security mailing lists, and other sources of vulnerability reports through manual or automated means.",medium,functional,"SSDF RV.1.1 requires Examples Example 1: Monitor vulnerability databases , security mailing lists, and other sources of vulnerability reports through manual or automated means.. ASVS V1.1.2 requires Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.. Both address architecture and design. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.2,"Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.",Auto-mapped via lexical + theme scoring (score=0.280). Manual review recommended for production use.
RV.1.2,"RV.1.2: Review, analyze, and/or test the software’s code to identify or confirm the presence of previously undetected vulnerabilities.",Examples Example 1: Configure the toolchain to perform automated code analysis and testing on a regular or continuous basis for all supported releases.,medium,functional,"SSDF RV.1.2 requires Examples Example 1: Configure the toolchain to perform automated code analysis and testing on a regular or continuous basis for all supported releases.. ASVS V1.1.2 requires Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.. Both address testing and verification. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.2,"Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.",Auto-mapped via lexical + theme scoring (score=0.281). Manual review recommended for production use.
RV.1.3,"RV.1.3: Have a policy that addresses vulnerability disclosure and remediation, and implement the roles, responsibilities, and processes needed to support that policy.","Examples Example 1: Establish a vulnerability disclosure program, and make it easy for security researchers to learn about your program and report possible vulnerabilities.",medium,functional,"SSDF RV.1.3 requires Examples Example 1: Establish a vulnerability disclosure program, and make it easy for security researchers to learn about your program and report possible vulnerabilities.. ASVS V14.4.3 requires Verify that a Content Security Policy (CSP) response header is in place that helps mitigate impact for XSS attacks like HTML, DOM, JSON, and JavaScript injection vulnerabilities.. Both address governance and policy. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V14 - Configuration,V14.4.3,"Verify that a Content Security Policy (CSP) response header is in place that helps mitigate impact for XSS attacks like HTML, DOM, JSON, and JavaScript injection vulnerabilities.",Auto-mapped via lexical + theme scoring (score=0.271). Manual review recommended for production use.
RV.2.1,RV.2.1: Analyze each vulnerability to gather sufficient information about risk to plan its remediation or other risk response.,Examples Example 1: Use existing issue tracking software to record each vulnerability.,medium,functional,"SSDF RV.2.1 requires Examples Example 1: Use existing issue tracking software to record each vulnerability.. ASVS V3.5.2 requires Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.. Both address review and analysis. Both overlap in objective, but differ in implementation detail and scope.",subset_of,6,V3 - Session Management,V3.5.2,"Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.",Auto-mapped via lexical + theme scoring (score=0.236). Manual review recommended for production use. Reclassified to subset_of (distribution safeguard).
RV.2.2,RV.2.2: Plan and implement risk responses for vulnerabilities.,"Examples Example 1: Make a risk-based decision as to whether each vulnerability will be remediated or if the risk will be addressed through other means (e.g., risk acceptance, risk transference), and prioritize any actions to be taken.",medium,functional,"SSDF RV.2.2 requires Examples Example 1: Make a risk-based decision as to whether each vulnerability will be remediated or if the risk will be addressed through other means (e.g., risk acceptance, risk transference), and prioritize any actions to be taken.. ASVS V1.1.2 requires Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.. Both address architecture and design. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,"V1 - Architecture, Design and Threat Modeling",V1.1.2,"Verify the use of threat modeling for every design change or sprint planning to identify threats, plan for countermeasures, facilitate appropriate risk responses, and guide security testing.",Auto-mapped via lexical + theme scoring (score=0.284). Manual review recommended for production use.
RV.3.1,RV.3.1: Analyze identified vulnerabilities to determine their root causes.,Examples Example 1: Record the root cause of discovered issues.,medium,functional,"SSDF RV.3.1 requires Examples Example 1: Record the root cause of discovered issues.. ASVS V10.1.1 requires Verify that a code analysis tool is in use that can detect potentially malicious code, such as time functions, unsafe file operations and network connections.. Both address review and analysis. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V10 - Malicious Code,V10.1.1,"Verify that a code analysis tool is in use that can detect potentially malicious code, such as time functions, unsafe file operations and network connections.",Auto-mapped via lexical + theme scoring (score=0.263). Manual review recommended for production use.
RV.3.2,"RV.3.2: Analyze the root causes over time to identify patterns, such as a particular secure coding practice not being followed consistently.",Examples Example 1: Record lessons learned through root cause analysis in a wiki that developers can access and search.,medium,functional,"SSDF RV.3.2 requires Examples Example 1: Record lessons learned through root cause analysis in a wiki that developers can access and search.. ASVS V10.1.1 requires Verify that a code analysis tool is in use that can detect potentially malicious code, such as time functions, unsafe file operations and network connections.. Both address review and analysis. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V10 - Malicious Code,V10.1.1,"Verify that a code analysis tool is in use that can detect potentially malicious code, such as time functions, unsafe file operations and network connections.",Auto-mapped via lexical + theme scoring (score=0.289). Manual review recommended for production use.
RV.3.3,"RV.3.3: Review the software for similar vulnerabilities to eradicate a class of vulnerabilities, and proactively fix them rather than waiting for external reports.",Examples Example 1: See PW.7 and PW.8.,medium,functional,"SSDF RV.3.3 requires Examples Example 1: See PW.7 and PW.8.. ASVS V3.5.2 requires Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.. Both address review and analysis. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V3 - Session Management,V3.5.2,"Verify the application uses session tokens rather than static API secrets and keys, except with legacy implementations.",Auto-mapped via lexical + theme scoring (score=0.242). Manual review recommended for production use.
RV.3.4,"RV.3.4: Review the SDLC process, and update it if appropriate to prevent (or reduce the likelihood of) the root cause recurring in updates to the software or in new software that is created.",Examples Example 1: Record lessons learned through root cause analysis in a wiki that developers can access and search.,medium,functional,"SSDF RV.3.4 requires Examples Example 1: Record lessons learned through root cause analysis in a wiki that developers can access and search.. ASVS V4.3.1 requires Verify administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.. Both address logging and monitoring. Both overlap in objective, but differ in implementation detail and scope.",intersects_with,3,V4 - Access Control,V4.3.1,Verify administrative interfaces use appropriate multi-factor authentication to prevent unauthorized use.,Auto-mapped via lexical + theme scoring (score=0.276). Manual review recommended for production use.
